Team,Full Time Goals,Half Time Goals,Shots,Shots on Target,Corners,Fouls Committed,Yellow Cards,Red Cards,Average Win Odds,Average Draw Odds,Shots on Target Allowed
Burnley-2020,1.053,0.789,11.105,3.842,5.158,8.737,1.211,0.0,5.167,3.934,4.578947368421052
Chelsea-2020,1.316,0.684,15.526,5.789,5.895,10.474,1.0,0.105,1.836,4.189,2.473684210526316
Crystal Palace-2020,0.944,0.5,9.0,3.5,3.667,10.611,1.611,0.0,5.559,3.981,4.444444444444445
Everton-2020,0.905,0.476,10.476,3.476,4.095,9.952,1.333,0.0,3.481,3.824,4.476190476190476
Fulham-2020,0.6,0.15,11.65,3.35,4.65,12.85,1.45,0.0,4.266,3.699,3.8
Leeds-2020,1.579,0.526,13.0,5.368,6.211,12.579,1.737,0.053,3.375,3.939,4.947368421052632
Leicester-2020,1.737,0.684,13.842,5.526,6.105,12.211,1.158,0.0,2.559,3.693,3.210526315789474
Liverpool-2020,1.632,0.526,15.895,5.421,6.632,10.579,1.053,0.0,1.728,4.8,4.0
Man City-2020,2.474,1.0,15.474,5.789,5.579,9.263,1.263,0.105,1.412,5.358,2.9473684210526314
Man United-2020,1.947,0.737,13.684,5.421,5.263,11.474,1.789,0.0,2.191,4.309,3.6842105263157894
Newcastle-2020,1.5,0.778,11.889,4.556,4.5,9.722,1.389,0.111,5.769,4.116,4.833333333333333
Sheffield United-2020,0.526,0.316,7.789,2.211,4.0,11.316,1.895,0.053,6.699,4.274,6.0
Southampton-2020,1.053,0.579,12.053,4.421,5.263,10.474,1.263,0.158,4.243,3.886,5.526315789473684
Tottenham-2020,1.75,0.8,11.65,4.5,4.45,10.85,1.55,0.05,2.52,3.966,4.1
West Brom-2020,1.111,0.556,9.944,3.222,4.333,10.611,1.389,0.056,5.92,4.124,6.444444444444445
West Ham-2020,1.778,1.0,12.278,4.444,4.167,9.222,1.5,0.167,3.254,3.74,4.166666666666667
Wolves-2020,0.789,0.211,11.684,3.895,5.579,10.579,1.263,0.0,3.94,3.558,4.7894736842105265
Arsenal-2021,1.556,0.778,16.556,5.111,6.0,10.167,1.667,0.111,2.088,3.91,3.2222222222222223
Aston Villa-2021,1.421,0.684,12.579,5.053,5.211,11.368,1.947,0.053,3.544,3.799,3.789473684210526
Brentford-2021,1.316,0.316,12.105,4.105,4.368,8.474,1.316,0.105,5.189,3.935,5.2631578947368425
Brighton-2021,1.158,0.368,13.368,3.947,5.263,10.632,1.684,0.053,3.995,3.712,3.789473684210526
Burnley-2021,0.857,0.333,10.762,3.238,5.048,11.0,1.571,0.095,5.082,3.829,4.904761904761905
Chelsea-2021,1.824,0.706,16.0,5.529,6.059,11.353,1.765,0.0,1.782,4.394,2.6470588235294117
Crystal Palace-2021,1.167,0.611,9.778,4.056,4.556,10.278,1.833,0.0,3.642,3.537,3.2222222222222223
Everton-2021,1.0,0.55,10.9,3.25,4.6,10.1,2.0,0.25,4.298,3.85,5.25
Leeds-2021,1.105,0.368,11.684,3.737,4.421,12.789,2.526,0.105,4.44,4.152,6.631578947368421
Leicester-2021,1.55,0.65,11.35,4.1,4.9,9.55,1.45,0.0,3.776,3.912,5.15
Liverpool-2021,2.333,1.0,19.5,6.833,6.944,8.556,1.222,0.0,1.462,5.905,2.7777777777777777
Man City-2021,2.706,1.059,18.941,6.471,8.118,8.0,0.706,0.0,1.31,6.305,2.2941176470588234
Man United-2021,1.35,0.6,12.85,4.85,5.05,10.25,1.85,0.0,2.531,4.09,4.8
Newcastle-2021,1.316,0.737,12.421,4.368,4.158,10.526,1.737,0.0,4.513,3.833,3.789473684210526
Norwich-2021,0.789,0.316,9.474,2.737,4.0,9.368,1.105,0.0,7.971,4.761,6.578947368421052
Southampton-2021,1.211,0.579,12.947,5.0,6.579,9.105,1.368,0.0,3.736,3.85,5.2105263157894735
Tottenham-2021,2.3,1.05,13.5,5.5,4.6,10.15,1.8,0.0,2.699,4.157,3.6
Watford-2021,0.6,0.35,9.85,2.7,4.25,9.8,1.2,0.1,6.893,4.443,4.65
West Ham-2021,1.278,0.722,10.111,3.444,4.833,7.389,1.389,0.056,3.371,4.015,4.055555555555555
Wolves-2021,1.25,0.65,11.2,3.95,4.55,9.3,1.45,0.05,4.734,3.79,4.9
Arsenal-2022,2.3,1.15,15.5,5.1,6.35,9.25,0.95,0.0,1.87,4.583,4.1
Aston Villa-2022,1.526,0.789,11.474,3.789,4.684,10.684,1.947,0.0,3.477,3.749,4.105263157894737
Bournemouth-2022,1.0,0.474,10.737,3.684,3.789,10.0,1.895,0.0,5.698,4.134,5.7894736842105265
Brentford-2022,1.368,0.579,10.632,4.0,4.0,10.474,1.526,0.053,3.418,3.709,5.0
Brighton-2022,1.85,0.9,18.3,6.4,6.25,11.85,1.65,0.0,2.172,4.132,3.35
Chelsea-2022,0.889,0.333,14.0,4.389,5.556,10.333,2.056,0.0,2.891,3.893,4.333333333333333
Crystal Palace-2022,1.158,0.316,11.211,3.316,5.316,11.421,2.0,0.053,4.545,3.752,4.157894736842105
Everton-2022,1.0,0.421,12.421,4.474,4.737,11.368,2.0,0.105,4.867,3.866,4.7368421052631575
