Team,Full Time Goals,Half Time Goals,Shots,Shots on Target,Corners,Fouls Committed,Yellow Cards,Red Cards,Average Win Odds,Average Draw Odds,Shots on Target Allowed
Tottenham-2021,1.278,0.667,12.278,4.889,5.722,10.167,1.722,0.056,2.626,3.779,3.8333333333333335
Watford-2021,1.222,0.556,11.056,4.056,4.278,13.556,1.833,0.056,5.743,4.123,5.555555555555555
West Ham-2021,1.85,0.7,12.55,4.8,5.2,9.55,1.1,0.1,3.024,3.679,4.7
Wolves-2021,0.722,0.278,9.889,3.167,4.278,9.944,1.667,0.056,4.328,3.695,4.055555555555555
Arsenal-2022,2.333,1.0,15.722,5.667,5.333,10.444,1.778,0.0,1.818,4.181,3.0
Aston Villa-2022,1.158,0.579,11.211,4.158,4.0,11.263,2.263,0.053,3.486,3.693,4.2631578947368425
Bournemouth-2022,0.947,0.421,7.947,3.316,3.789,10.579,1.684,0.0,7.654,4.681,5.052631578947368
Brentford-2022,1.684,0.842,10.263,4.526,4.579,8.158,1.368,0.0,4.109,3.871,5.7894736842105265
Brighton-2022,1.944,0.889,13.667,5.722,6.0,10.5,1.444,0.0,3.554,3.832,3.6666666666666665
Chelsea-2022,1.1,0.45,11.6,3.95,5.45,10.55,2.0,0.15,2.145,3.91,4.5
Crystal Palace-2022,0.947,0.526,11.158,3.842,4.474,12.053,2.105,0.105,4.451,3.809,4.368421052631579
Everton-2022,0.789,0.316,10.158,3.526,4.474,9.474,2.158,0.0,4.716,3.831,5.421052631578948
Fulham-2022,1.6,0.6,11.85,4.2,5.1,10.25,2.45,0.05,4.922,4.11,5.6
Leeds-2022,1.444,0.611,12.889,3.944,5.667,12.667,2.111,0.111,4.214,3.992,5.222222222222222
Leicester-2022,1.368,0.842,10.789,4.105,3.842,10.421,1.263,0.0,4.054,3.962,4.473684210526316
Liverpool-2022,1.789,0.947,16.526,5.947,6.842,9.474,1.105,0.053,1.65,5.214,4.631578947368421
Man City-2022,2.632,1.158,16.947,5.789,6.684,8.368,0.947,0.053,1.316,6.906,2.6842105263157894
Man United-2022,1.579,0.632,14.0,5.263,4.211,11.737,2.526,0.0,2.593,4.023,4.0
Newcastle-2022,1.737,0.842,14.421,5.0,6.737,10.789,1.632,0.0,3.013,3.885,3.3684210526315788
Nott'm Forest-2022,0.789,0.368,10.158,3.105,3.158,11.474,2.211,0.0,6.809,4.508,5.105263157894737
Southampton-2022,0.895,0.316,11.421,3.632,4.316,11.0,1.632,0.0,5.094,4.157,4.052631578947368
Tottenham-2022,1.95,0.6,14.2,5.75,5.9,10.55,1.95,0.05,2.418,4.028,4.5
West Ham-2022,0.789,0.316,13.789,3.895,5.158,9.895,1.316,0.0,3.407,3.779,4.315789473684211
Wolves-2022,0.632,0.421,11.684,3.316,5.0,11.263,2.053,0.158,4.0,3.649,4.421052631578948
