Team,Full Time Goals,Half Time Goals,Shots,Shots on Target,Corners,Fouls Committed,Yellow Cards,Red Cards,Average Win Odds,Average Draw Odds,Shots on Target Allowed,points,wins,draws,losses
Tottenham-2009,1.763,0.737,15.711,9.158,6.342,11.0,1.5,0.026,2.403,3.779,6.815789473684211,70.0,21.0,7.0,10.0
West Ham-2009,1.237,0.579,12.026,6.789,4.763,12.763,1.737,0.079,4.638,3.694,7.815789473684211,35.0,8.0,11.0,19.0
Wigan-2009,0.974,0.368,13.105,7.0,4.842,12.684,1.684,0.079,5.008,3.763,7.131578947368421,36.0,9.0,9.0,20.0
Wolves-2009,0.842,0.342,9.921,5.421,5.421,12.711,1.684,0.105,5.615,3.841,7.447368421052632,38.0,9.0,11.0,18.0
Arsenal-2010,1.895,0.895,15.658,9.0,6.632,11.368,1.789,0.158,1.822,4.257,4.894736842105263,68.0,19.0,11.0,8.0
Aston Villa-2010,1.263,0.605,11.474,6.342,6.184,11.5,1.868,0.053,3.461,3.519,7.421052631578948,48.0,12.0,12.0,14.0
Birmingham-2010,0.974,0.395,8.605,4.079,4.0,10.5,1.5,0.079,4.328,3.573,8.236842105263158,,,,
Blackburn-2010,1.211,0.605,10.132,5.026,4.605,11.974,1.711,0.105,4.151,3.597,8.473684210526315,43.0,11.0,10.0,17.0
Blackpool-2010,1.447,0.737,11.737,6.184,4.895,10.605,1.237,0.053,5.632,3.99,9.289473684210526,39.0,10.0,9.0,19.0
Bolton-2010,1.368,0.474,13.105,7.237,5.316,12.632,1.763,0.132,3.967,3.55,7.263157894736842,46.0,12.0,10.0,16.0
Chelsea-2010,1.816,0.816,16.711,9.053,6.711,10.658,1.553,0.026,1.597,4.674,5.552631578947368,71.0,21.0,8.0,9.0
Everton-2010,1.342,0.605,13.395,7.526,6.447,12.079,1.526,0.132,2.841,3.506,6.2631578947368425,54.0,13.0,15.0,10.0
Fulham-2010,1.289,0.5,12.0,6.579,5.053,11.711,1.342,0.026,3.851,3.52,6.289473684210527,49.0,11.0,16.0,11.0
Liverpool-2010,1.553,0.684,12.5,7.053,5.632,11.474,1.658,0.053,2.313,3.631,5.5,58.0,17.0,7.0,14.0
Man City-2010,1.579,0.868,12.553,7.263,6.0,11.947,1.947,0.132,2.102,3.734,5.921052631578948,71.0,21.0,8.0,9.0
Man United-2010,2.053,0.895,14.289,8.158,6.447,10.421,1.526,0.079,1.68,4.242,5.078947368421052,80.0,23.0,11.0,4.0
Newcastle-2010,1.474,0.737,11.421,6.632,5.342,11.579,1.974,0.053,4.032,3.617,6.289473684210527,46.0,11.0,13.0,14.0
Stoke-2010,1.211,0.421,10.789,5.368,5.026,10.974,1.842,0.026,4.238,3.612,6.7368421052631575,46.0,13.0,7.0,18.0
Sunderland-2010,1.184,0.553,11.842,6.053,4.737,10.605,1.553,0.132,3.953,3.514,6.947368421052632,47.0,12.0,11.0,15.0
Tottenham-2010,1.447,0.684,14.737,8.447,6.737,9.5,1.342,0.053,2.432,3.63,6.552631578947368,62.0,16.0,14.0,8.0
West Brom-2010,1.474,0.5,13.763,7.553,4.974,10.289,1.421,0.184,4.45,3.679,6.7368421052631575,47.0,12.0,11.0,15.0
West Ham-2010,1.132,0.579,12.342,6.474,4.868,10.684,1.526,0.026,4.655,3.721,8.473684210526315,33.0,7.0,12.0,19.0
Wigan-2010,1.053,0.395,11.842,6.658,4.447,12.132,1.789,0.105,5.162,3.786,6.5,42.0,9.0,15.0,14.0
Wolves-2010,1.211,0.579,9.763,5.447,6.368,11.526,1.658,0.053,4.959,3.74,7.7105263157894735,40.0,11.0,7.0,20.0
Arsenal-2011,1.947,0.895,15.395,9.263,6.921,9.842,1.763,0.105,2.129,4.007,5.184210526315789,70.0,21.0,7.0,10.0
Aston Villa-2011,0.974,0.447,10.632,5.342,5.737,10.342,1.842,0.053,3.993,3.59,7.5,38.0,7.0,17.0,14.0
Blackburn-2011,1.263,0.553,10.921,6.263,4.368,11.184,1.789,0.132,5.101,3.827,7.894736842105263,31.0,8.0,7.0,23.0
Bolton-2011,1.211,0.526,11.763,7.237,5.553,11.289,1.342,0.132,4.948,3.807,8.973684210526315,36.0,10.0,6.0,22.0
Chelsea-2011,1.711,0.763,16.211,8.789,6.684,10.605,1.974,0.105,1.871,4.177,6.342105263157895,64.0,18.0,10.0,10.0
Everton-2011,1.316,0.474,12.474,6.658,4.711,11.816,1.605,0.026,3.221,3.546,5.973684210526316,56.0,15.0,11.0,12.0
